product_name,retail_price,discounted_price,product_rating,overall_rating,category
"Franck Bella FB0122DD Analog Watch  - For Men, Boys",1299.0,1039.0,,,Watches
Catwalk Boots,2095.0,999.0,,,Footwear
Rialto Boots,3295.0,2395.0,,,Footwear
Salt N Pepper 12-298 Taupe Boots,4395.0,2150.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",8995.0,7495.0,,,Watches
Magnum Footwear Lifestyle Boots,5999.0,3199.0,,,Footwear
Steppings Trendy Boots,3599.0,2519.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
"Sale Funda SFGFU694 Analog Watch  - For Boys, Men",2499.0,599.0,,,Watches
Steppings Trendy Boots,2199.0,1099.0,,,Footwear
"Britex BT2050+BT3101 He & She Analog Watch  - For Couple, Women, Men, Boys, Girls",1990.0,699.0,,,Watches
,,,,,Others
,,,,,Others
No rating available,,,,,Others
TSG Kelz Boots,2650.0,2650.0,,,Footwear
"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",2999.0,995.0,,,Watches
J.D.H. 111-222 Boots,1500.0,599.0,,,Footwear
"Disney 98189 Analog Watch  - For Boys, Girls",1800.0,900.0,,,Watches
Get Glamr Designer Snowra Boots,2799.0,2239.0,,,Footwear
"Lenco DCOMPASS2010 Quazi Analog-Digital Watch  - For Men, Boys",1999.0,849.0,,,Watches
Pinza Black Christmas Boots,3350.0,1900.0,,,Footwear
Kielz Ladies Boots,2799.0,1299.0,,,Footwear
Salt N Pepper 13-552 Rebacca Almond Boots,3495.0,2621.0,,,Footwear
"Rockstar R_056 Chrono Analog Watch  - For Men, Boys",1299.0,299.0,,,Watches
Disney DW100405 Digital Watch  - For Boys,1495.0,1345.0,,,Watches
Selfie Boots,1200.0,599.0,,,Footwear
,,,,,Others
